Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Median Pitch,Mean Pitch ,Standard deviation,Number of pulses,Number of periods,Class information
2.383,0.000167492,0.704,0.808,2.112,9.57,0.934,3.424,4.543,9.368,10.272,144.309,142.612,11.517,113,107,1
2.411,0.00018115,1.117,1.065,3.352,9.15,0.93,3.559,5.546,9.497,10.677,137.674,134.203,16.729,146,145,1
3.038,0.00021554,1.257,1.697,3.771,13.811,1.409,4.762,8.132,21.778,14.287,143.7,141.09,12.956,113,109,1
4.268,0.000300057,2.026,2.566,6.078,10.9,1.059,4.284,5.978,11.531,12.853,146.054,144.842,17.536,123,114,1
1.744,0.000122739,0.409,0.472,1.227,6.443,0.587,2.561,3.862,6.011,7.683,145.62,142.188,9.672,25,23,1
1.259,0.000094709,0.479,0.453,1.437,9.871,1.032,3.631,4.696,9.897,10.894,133.726,133.565,4.529,72,70,1
1.921,0.000138446,0.902,1.007,2.706,9.243,0.88,3.537,5.775,9.561,10.611,138.742,138.13,4.803,50,48,1
1.172,0.000090201,0.366,0.582,1.099,11.947,1.111,3.834,6.183,12.116,11.503,130.424,130.136,7.438,60,59,1
2.152,0.00016033,0.781,0.957,2.342,8.593,1.001,2.14,3.153,5.457,6.42,135.111,133.755,5.68,66,63,1
2.62,0.00020042,1.311,1.2,3.934,11.183,1.272,4.091,7.301,9.511,12.272,132.205,131.045,7.415,63,60,1
1.853,0.000138927,0.872,1.13,2.615,11.074,1.027,4.282,6.523,14.808,12.846,133.288,132.958,7.376,52,51,1
2.983,0.000227409,1.281,1.198,3.843,8.867,0.957,3.087,4.92,9.043,9.26,131.195,131.83,10.218,60,58,1
1.31,0.000106813,0.302,0.405,0.907,7.666,0.763,3.43,4.073,7.293,10.29,125.5,122.828,7.613,44,43,1
2.106,0.000129994,1.22,1.109,3.66,12.387,1.148,6.509,7.644,12.175,19.528,158.395,162.234,10.554,111,110,1
3.734,0.000224207,2.252,2.068,6.757,17.815,1.454,7.495,11.899,17.384,22.485,158.819,166.31,15.497,126,123,1
3.074,0.000159136,1.818,1.84,5.455,14.213,1.345,7.81,10.25,14.603,23.429,187.764,200.345,63.88,86,80,1
3.778,0.000220671,2.25,2.179,6.751,26.613,1.981,14.588,21.086,21.68090909,43.765,171.947,170.81,9.819,62,61,1
10.439,0.000595366,6.125,5.875,18.375,24.246,2.043,11.826,13.68252632,21.68090909,35.477,176.598,186.415,73.029,35,30,1
9.861,0.000217992,4.613,5.64,13.84,24.235,1.875,16.546,13.68252632,21.68090909,49.637,446.381,447.298,5.31,43,34,1
7.581,0.000403333,4.074,4.394,12.222,17.775,1.659,9.395,12.157,21.68090909,28.186,180.255,195.47,81.637,38,33,1
10.28,0.000297843,5.336,6.223,16.009,19.321,1.809,6.687,4.612,21.68090909,20.06,342.486,361.542,53.834,33,27,1
4.941,0.000267994,2.821,3.674,8.463,24.961,1.603,16.641,13.68252632,21.68090909,49.922,184.115,181.399,8.09,11,10,1
1.564,0.00018862,1.003,1.533,3.009,19.713,1.631,7.585,13.68252632,21.68090909,22.755,83.085,82.363,2.613,9,7,1
8.441,0.000415492,5.753,6.814,17.259,32.644,2.689,12.075,13.68252632,21.68090909,36.225,158.493,198.364,108.888,21,18,1
1.506,0.000175117,0.953,0.801,2.859,30.113,2.567,9.718,13.68252632,21.68090909,29.154,85.65,85.567,1.888,6,5,1
4.805,0.000422524,2.642,1.652,7.927,24.595,2.077,13.485,15.8,21.68090909,40.455,85.857,111.168,30.416,13,11,1
5.039,0.000321963,2.793,2.552,8.378,23.636,1.88,12.11,20.88,35.367,36.33,177.617,160.453,45.651,95,90,1
5.123,0.000296569,2.929,3.02,8.786,20.658,1.806,10.93,19.767,21.609,32.79,169.754,171.605,13.847,168,164,1
5.652,0.00028281,3.347,3.774,10.041,26.105,1.832,10.352,18.208,21.68090909,31.056,172.933,217.064,110.97,67,59,1
4.613,0.000261564,2.496,2.658,7.487,19.8,1.834,8.925,13.587,21.289,26.774,181.747,177.855,9.079,95,84,1
6.601,0.000315187,4.092,4.761,12.275,19.607,1.444,15.01,19.712,21.68090909,45.029,187.412,209.978,83.78,31,26,1
2.044,0.000119975,1.052,1.131,3.157,23.81,1.879,12.551,17.487,26.088,37.652,167.076,170.536,12.737,72,70,1
4.245,0.000255927,2.445,2.168,7.335,17.618,1.525,9.235,8.599,29.695,27.706,168.835,170.611,12.469,70,65,1
5.954,0.000342071,3.724,3.572,11.171,27.146,2.211,13.592,13.279,21.68090909,40.775,167.342,174.862,60.32,59,52,1
7.228,0.000401059,3.953,3.376,11.858,18.897,1.762,6.825,8.437,21.68090909,20.475,150.105,188.446,101.038,61,52,1
7.463,0.000415743,4.896,3.465,14.687,20.483,1.923,6.442,13.68252632,21.68090909,19.326,148.352,199.307,124.588,36,27,1
3.67,0.000250257,1.998,1.223,5.993,20.26,1.674,9.755,12.065,36.224,29.264,165.744,146.751,39.996,47,45,1
5.329,0.000342768,2.996,2.4,8.989,18.427,1.51,10.466,10.74,12.472,31.398,150.564,154.452,8.706,43,41,1
3.648,0.000223577,2.097,1.968,6.291,21.722,1.69,12.667,13.759,11.584,38,162.793,160.913,25.728,46,44,1
1.046,0.000057908,0.562,0.594,1.686,10.224,0.934,5.02,6.203,7.949,15.059,182.278,181.084,14.476,577,575,1
0.773,0.000042844,0.407,0.468,1.22,6.684,0.636,3.189,3.98,5.653,9.567,180.79,180.474,2.572,432,430,1
1.084,0.000058715,0.592,0.648,1.775,8.015,0.744,3.729,5.145,7.828,11.188,184.288,184.569,5.081,559,558,1
2.744,0.000166366,1.22,1.626,3.66,11.681,1.119,5.165,7.833,14.23,15.495,167.786,164.892,17.442,45,44,1
5.16,0.000311121,1.84,2.494,5.521,13.951,1.287,5.942,9.977,22.631,17.825,166.813,167.31,26.632,55,53,1
4.91,0.000271382,2.324,2.327,6.972,12.807,1.231,5.771,8.74,16.876,17.312,182.717,180.447,28.643,46,45,1
4.573,0.000257418,2.235,2.911,6.705,13.515,1.285,5.256,9.019,19.06,15.769,172.795,176.363,25.729,59,58,1
2.876,0.000169608,0.884,1.359,2.651,14.068,1.19,4.911,8.673,14.265,14.732,175.546,168.68,21.6,50,49,1
4.147,0.000249874,2.037,2.811,6.112,12.539,1.032,5.212,8.023,17.785,15.637,167.034,165.391,21.047,89,87,1
4.379,0.000255401,2.333,2.587,6.999,15.534,1.511,4.921,7.01,18.695,14.763,173.049,174.007,19.845,95,92,1
3.95,0.000224254,1.675,2.11,5.026,21.093,1.688,8.324,15.848,33.551,24.971,175.368,174.105,27.893,58,55,1
3.56,0.000198208,1.668,2.537,5.003,15.322,1.321,5.54,10.115,17.209,16.62,178.506,179.513,23.119,65,62,1
3.385,0.000192514,1.725,2.191,5.174,13.048,1.379,4.325,6.826,12.496,12.976,183.202,177.001,30.83,46,45,1
4.346,0.00026046,1.775,2.023,5.326,15.073,1.374,4.987,7.655,17.132,14.962,167.438,168.254,23.494,121,115,1
1.936,0.000126082,0.859,1.048,2.577,10.169,0.968,4.599,6.551,10.07,13.797,166.08,154.174,34.071,176,174,1
4.764,0.000274813,2.052,2.367,6.156,13.883,1.214,6.291,10.602,20.253,18.874,177.087,173.396,16.044,143,138,1
7.456,0.00044538,3.549,4.3,10.648,15.979,1.428,6.652,11.191,15.396,19.955,167.367,167.352,24.803,130,123,1
4.174,0.000272958,2.224,1.707,6.672,21.762,1.966,6.988,15.92,15.31036,20.964,144.743,151.15,16.75,22,21,1
3.153,0.000209417,1.506,1.953,4.517,12.836,1.147,6.253,8.892,13.941,18.758,151.571,151.366,9.536,66,64,1
4.384,0.000276077,1.623,2.17,4.868,16.433,1.494,7.03,11.212,19.452,21.091,159.369,157.684,17.119,52,50,1
3.799,0.000253805,1.79,2.569,5.37,18.541,1.657,9.616,13.721,17.217,28.849,147.358,149.682,11.34,68,67,1
4.598,0.000298098,2.097,2.034,6.291,14.236,1.349,6.636,8.951,9.433,19.908,157.746,153.994,16.254,53,51,1
5.468,0.000357856,2.274,2.815,6.823,13.941,1.401,5.681,9.141,18.901,17.044,146.313,153.1,15.666,53,50,1
2.425,0.00015466,1.024,1.236,3.073,10.13,0.957,4.039,7.681,10.824,12.116,159.894,156.824,12.725,46,45,1
2.83,0.000173016,1.257,1.298,3.772,12.224,1.072,5.454,9.473,10.262,16.361,162.187,163.85,17.854,60,57,1
3.437,0.000230195,1.804,2.243,5.413,17.754,1.493,8.203,11.042,11.65,24.608,141.839,147.767,13.277,46,45,1
0.685,0.000029414,0.279,0.25,0.837,4.849,0.562,2.192,2.95,3.847,6.577,235.735,232.96,6.934,136,134,1
0.627,0.000026961,0.347,0.282,1.042,4.373,0.409,2.059,2.707,3.712,6.177,232.356,232.6,4.897,93,92,1
1.565,0.000066703,0.802,0.826,2.405,5.264,0.591,2.441,3.241,4.102,7.323,238.077,234.752,11.665,110,109,1
2.242,0.000108286,1.117,1.333,3.351,14.047,1.361,5.444,8.865,16.872,16.333,207.012,206.987,7.006,49,47,1
5.239,0.000255633,2.502,2.36,7.506,20.677,1.846,9.433,16.135,14.166,28.3,201.105,202.988,9.86,33,31,1
6.125,0.000285031,3.528,3.448,10.583,14.601,1.261,8.135,10.196,14.238,24.405,215.931,216.255,9.239,32,31,1
2.945,0.000145629,1.391,1.429,4.173,11.288,1.039,5.874,7.17,10.094,17.623,201.161,201.516,6.804,61,59,1
2.358,0.000122085,1.179,1.482,3.538,10.476,0.991,4.024,5.711,8.629,12.071,199.355,194.283,12.39,43,42,1
2.188,0.000110034,1.047,1.385,3.142,13.608,1.361,6.25,8.799,14.874,18.749,189.7,197.957,23.096,80,78,1
2.916,0.000141184,1.427,1.679,4.281,10.877,1.097,4.811,6.394,12.689,14.434,201.524,206.866,19.683,102,100,1
2.556,0.000121347,1.226,1.296,3.678,13.572,1.134,6.626,8.282,12.563,19.879,214.141,209.669,20.892,50,48,1
4.043,0.000191707,2.037,2.071,6.111,19.178,1.621,7.517,13.578,19.337,22.551,196.329,208.895,22.632,47,44,1
5.878,0.000335955,2.653,4.023,7.96,13.519,1.193,7.343,7.767,8.843,22.03,177.356,175.218,16.817,39,38,1
2.367,0.000101951,1.122,1.113,3.366,10.712,1.046,4.579,6.311,9.985,13.736,223.171,231.763,33.296,184,178,1
1.598,0.000080526,0.777,0.88,2.33,16.387,1.464,7.819,10.034,18.353,23.458,200.918,198.837,23.917,226,225,1
2.075,0.000101667,0.884,0.927,2.653,10.562,1.094,4.621,6.467,9.947,13.863,205.252,203.586,22.636,143,139,1
2.947,0.000136886,1.491,1.331,4.474,12.129,1.135,5.842,7.899,9.741,17.526,207.738,215.259,26.431,133,127,1
6.736,0.000334369,3.084,4.667,9.251,18.874,1.531,6.585,12.025,11.29779167,19.756,201.786,202.329,22.631,31,28,1
4.238,0.000272641,2.022,1.933,6.067,16.509,1.514,6.857,11.132,19.486,20.572,182.921,164.211,47.241,66,65,1
2.101,0.000112491,1.043,0.977,3.129,11.999,1.187,5.53,7.263,13.036,16.591,185.35,187.324,12.946,55,53,1
1.801,0.000101099,0.845,0.962,2.534,11.123,1.026,5.284,6.827,8.722,15.853,176.328,177.932,11.596,61,59,1
1.909,0.000102513,0.786,0.577,2.357,8.885,0.833,4.256,5.46,5.89,12.768,188.138,187.136,11.555,40,38,1
1.992,0.00011774,0.911,0.866,2.733,19.904,1.713,11.212,10.396,11.29779167,33.637,169.638,170.269,3.876,18,16,1
1.845,0.000099633,1.073,1.096,3.219,11.451,1.052,5.815,6.652,10.227,17.445,183.234,185.522,7.757,59,58,1
2.345,0.000127069,0.937,1.173,2.811,12.952,1.167,5.976,8.343,11.774,17.929,180.682,187.885,18.346,68,66,1
3.515,0.0002014,1.618,2.088,4.855,10.881,1.013,5.124,7.445,10.02,15.372,173.556,174.634,12.002,74,72,1
0.792,0.000076198,0.411,0.333,1.234,4.136,0.391,2.202,2.552,3.181,6.607,103.774,103.862,1.73,147,146,0
0.4,0.000037909,0.204,0.228,0.613,11.598,1.019,5.521,7.922,10.267,16.564,105.271,105.5,1.083,105,104,0
0.813,0.000074364,0.434,0.437,1.302,17.38,1.473,8.595,10.105,10.285,25.785,108.954,109.202,1.316,62,56,0
1.7,0.000171854,0.789,0.929,2.367,7.283,0.723,2.64,3.281,6.64,7.921,100.527,98.816,4.838,38,37,0
1.528,0.000159255,0.596,0.698,1.789,8.213,0.902,2.992,4.054,6.916,8.976,97.658,96.255,6.928,41,39,0
1.522,0.000144552,0.549,0.575,1.648,9.61,1.015,2.138,4.271,8.433,6.413,99.55,122.06,75.957,26,23,0
0.766,0.000077765,0.406,0.276,1.219,8.3,0.786,4.937,4.486,4.665,14.812,98.986,98.472,1.504,31,30,0
1.532,0.000150993,0.781,0.428,2.343,8.817,0.821,4.516,5.709,6.949,13.547,101.464,100.891,2.616,39,38,0
1.28,0.00013067,0.385,0.417,1.154,8.875,0.894,3.252,4.927,10.22,9.755,99.664,98.148,5.759,59,57,0
1.285,0.00013335,0.58,0.788,1.739,12.083,1.2,5.417,7.111,8.82,16.252,98.181,96.565,4.182,57,56,0
1.515,0.000152179,0.452,0.437,1.356,12.568,1.115,6.326,7.796,10.605,18.978,100.134,98.998,5.988,38,36,0
2.278,0.000193837,0.871,0.662,2.613,14.94,1.296,6.622,8.92,14.234,19.867,112.898,118.044,53.761,55,52,0
1.637,0.000168237,0.583,0.806,1.748,11.978,1.152,5.835,6.636,11.469,17.506,99.828,96.646,7.937,25,24,0
2.93,0.000238491,0.954,1.295,2.863,14.04,1.259,5.744,8.501,11.32,17.232,117.322,123.701,33.689,97,90,0
2.814,0.000260328,1.449,1.654,4.347,13.057,1.244,5.475,8.373,16.411,16.424,108.612,108.047,7.837,190,184,0
3.587,0.000293189,1.855,2.024,5.566,18.423,1.598,9.394,10.9,19.768,28.182,108.129,125.071,73.597,120,114,0
4.18,0.000305773,1.559,1.733,4.676,16.048,1.425,7.112,10.561,12.69,21.335,118.01,140.312,90.985,106,92,0
3.575,0.000336191,1.264,1.124,3.793,10.458,0.831,6.216,8.278,12.0832,18.649,101.932,103.888,4.246,11,10,0
2.7,0.000267181,1.655,1.587,4.966,17.929,1.533,9.825,9.76,7.311,29.475,100.806,100.938,4.416,44,43,0
3.245,0.000261832,1.683,1.526,5.049,14.061,1.242,7.056,8.881,11.097,21.169,100.612,136.511,105.48,58,46,0
3.457,0.000333066,1.905,1.819,5.716,13.491,1.294,4.946,7.045,18.514,14.839,103.572,103.336,6.934,40,38,0
2.809,0.000266956,1.005,0.909,3.016,12.772,1.191,4.768,7.495,23.135,14.303,106.337,104.642,13.251,35,33,0
3.772,0.000345458,1.389,1.932,4.167,13.256,1.325,4.097,8.447,28.279,12.291,113.276,109.748,8.84,37,35,0
2.313,0.000222724,0.877,1.234,2.631,14.134,1.175,7.881,10.848,13.302,23.644,101.761,103.602,11.107,35,34,0
3.132,0.000279958,1.832,1.433,5.497,15.329,1.276,8.2,10.684,9.746,24.599,111.102,111.686,6.458,50,48,0
2.228,0.000218343,0.852,0.789,2.557,17.611,1.492,9.189,13.35,17.823,27.568,98.465,101.291,9.683,19,18,0
0.418,0.00003011,0.169,0.16,0.507,3.48,0.399,1.86,2.282,2.818,5.581,139.803,138.575,7.383,665,664,0
0.341,0.000025004,0.165,0.167,0.495,2.981,0.273,1.514,1.908,2.35,4.543,137.223,136.322,4.506,602,598,0
0.567,0.000041727,0.285,0.269,0.855,5.786,0.541,3.01,3.654,4.681,9.03,135.742,135.975,3.317,574,561,0
0.794,0.000065954,0.183,0.311,0.548,6.297,0.559,3.008,3.484,2.829,9.023,120.408,120.14,2.381,17,16,0
4.357,0.000383014,1.655,2.204,4.964,10.404,1.052,3.268,6.154,3.541,9.803,115.196,114.082,12.418,35,33,0
2.468,0.000183887,0.811,0.769,2.433,15.506,1.238,7.096,9.991,27.89,21.288,114.507,144.857,68.724,30,27,0
1.339,0.000121894,0.341,0.4,1.023,8.233,0.729,3.82,5.506,6.473,11.461,110.259,109.852,4.093,26,25,0
1.412,0.000127262,0.548,0.697,1.645,6.879,0.661,2.074,3.069,7.347,6.223,112.925,111.3,5.692,34,33,0
2.657,0.000198179,1.015,0.815,3.044,9.967,1.048,4.462,4.723,9.408,13.387,104.806,139.532,109.17,51,46,0
1.812,0.000172962,0.399,0.738,1.196,10.234,1.068,4.424,5.333,6.541,13.272,102.457,105.449,8.062,44,43,0
4.183,0.000297407,0.974,1.446,2.923,8.991,0.781,3.361,4.689,12.834,10.082,114.499,150.594,116.633,38,32,0
1.122,0.000107604,0.245,1.05896,0.735,10.923,1.039,3.722,5.51648,10.48536,11.165,103.888,104.105,1.741,5,4,0
1.982,0.000178631,0.581,0.781,1.743,12.403,1.195,5.887,10.917,5.717,17.662,111.373,111.043,3.965,20,18,0
5.342,0.000310772,2.404,2.975,7.212,16.878,1.543,5.492,7.98,31.659,16.475,122.421,185.702,139.647,150,126,0
1.924,0.000167343,0.779,0.988,2.336,12.572,1.16,5.073,7.882,15.069,15.22,116.195,115.025,7.593,160,156,0
2.481,0.000202288,0.986,1.098,2.958,13.354,1.318,4.899,7.281,16.29,14.696,118.507,127.638,55.745,127,115,0
2.345,0.000175396,0.951,0.743,2.854,12.08,1.238,5.779,7.678,10.553,17.336,128.036,137.525,63.094,103,92,0
2.44,0.000150982,0.937,0.627,2.81,6.289,0.756,2.637,3.687,6.569,7.911,115.156,166.181,124.457,23,20,0
1.661,0.000149737,0.776,0.96,2.327,10.842,0.887,4.88,5.373,6.3,14.64,109.028,110.949,6.365,43,41,0
2.725,0.000234845,1.423,1.731,4.27,14.471,1.299,5.795,5.826,18.267,17.385,106.727,118.709,56.247,48,43,0
2.211,0.000211965,0.77,1.265,2.31,9.727,0.994,3.411,5.616,8.973,10.233,101.418,104.517,10.753,42,41,0
3.194,0.000220372,1.522,1.734,4.566,13.161,1.352,4.146,6.05,22.983,12.437,108.551,144.535,115.065,47,43,0
3.646,0.000250388,2.158,2.534,6.474,9.197,1.035,2.747,4.584,8.944,8.242,111.313,149.615,105.825,57,50,0
1.495,0.000136032,0.445,0.628,1.335,8.197,0.735,3.906,4.509,10.496,11.719,104.91,109.507,9.715,33,32,0
2.439,0.000195369,0.985,1.578,2.955,7.58,0.849,3.167,4.127,4.42,9.501,110.157,121.779,59.608,47,44,0
1.456,0.000128749,0.427,0.856,1.281,10.357,0.958,4.715,5.609,9.182,14.144,114.272,112.896,4.736,27,25,0
2.531,0.000136465,1.306,1.483,3.917,10.218,1.16,4.775,6.379,11.033,14.326,177.621,186.557,29.85,126,124,0
1.506,0.00007965,0.858,0.878,2.574,8.226,0.761,4.348,5.512,6.685,13.045,187.626,189.089,7.882,184,182,0
0.814,0.000041103,0.442,0.476,1.326,6.093,0.557,3.14,3.876,5.088,9.421,196.089,198.058,7.041,212,211,0
2.391,0.000123527,1.232,1.208,3.697,13.388,1.241,5.983,8.432,13.778,17.95,190.945,196.861,36.839,89,85,0
3.994,0.000210057,2.301,2.199,6.903,11.037,1.114,5.373,6.933,9.265,16.119,178.578,189.474,18.953,77,75,0
4.443,0.000181787,2.259,3.033,6.777,16.977,1.52,6.455,12.059,22.956,19.365,194.37,241.416,91.195,91,86,0
1.156,0.000059708,0.575,0.556,1.726,10.083,0.93,4.557,6.695,9.681,13.672,187.77,193.736,13.595,56,55,0
3.405,0.000164871,1.71,1.61,5.13,18.944,1.579,8.982,14.641,9.558,26.945,189.161,204.475,59.692,59,57,0
2.482,0.000138359,1.341,1.468,4.024,12.535,1.206,6.415,7.133,12.721,19.246,173.283,178.346,20.358,104,101,0
2.712,0.000131173,1.466,1.246,4.398,18.475,1.556,8.591,10.269,11.836,25.772,188.148,216.476,87.404,129,119,0
5.369,0.000206175,2.43,2.814,7.291,16.437,1.44,7.644,8.844,14.83,22.932,194.36,274.374,132.48,158,132,0
2.715,0.000138169,1.376,1.513,4.128,11.251,1.144,4.7,6.474,9.581,14.099,194.158,196.241,13.165,92,90,0
3.382,0.000200804,1.695,1.661,5.084,14.309,1.35,7.393,9.268,15.9,22.178,172.2,172.858,21.139,60,59,0
3.898,0.000210401,1.986,1.942,5.959,17.217,1.348,8.356,12.56,19.322,25.069,181.153,185.263,25.869,143,138,0
1.707,0.000103921,0.889,0.99,2.668,10.684,1.125,4.961,6.596,10.937,14.883,163.848,164.034,7.431,160,158,0
3.059,0.000183496,1.727,1.657,5.182,16.194,1.392,8.352,10.812,15,25.056,161.585,166.571,13.707,133,130,0
3.65,0.000206991,1.82,2.202,5.459,15.419,1.36,7.416,10.614,10.589,22.249,167.095,172.452,42.21,116,105,0
3.26,0.000231161,1.657,2.007,4.971,13.48,1.199,7.912,11.321,16.641,23.736,139.757,140.577,6.926,45,43,0
2.1,0.00013779,1.194,0.98,3.581,11.456,1.038,4.555,6.555,12.232,13.666,147.205,151.388,12.937,66,65,0
3.958,0.000255022,2.081,2.245,6.242,20.869,1.777,12.227,14.786,19.005,36.682,147.261,155.248,14.245,58,56,0
3.042,0.000198458,1.758,1.808,5.273,14.152,1.344,4.685,8.694,23.549,14.054,150.708,153.322,12.999,68,67,0
6.314,0.000413379,3.715,4.214,11.146,16.938,1.497,8.314,9.68,13.551,24.943,142.655,151.378,19.047,56,53,0
4.403,0.000272065,2.259,2.328,6.777,15.825,1.296,6.68,10.222,15.414,20.041,158.781,161.447,19.114,49,47,0
2.915,0.000203013,1.587,1.366,4.761,8.984,0.935,4.274,4.952,7.763,12.823,141.651,142.881,5.246,56,54,0
2.716,0.000181273,1.456,1.808,4.369,11.393,1.132,5.053,6.823,12.107,15.158,149.573,150.832,8.959,75,74,0
1.831,0.000126766,0.851,1.005,2.553,11.747,1.088,5.178,6.9,8.16,15.533,140.926,144.605,9.351,50,49,0
0.553,0.000051721,0.212,0.215,0.637,4.055,0.4,1.787,2.611,4.197,5.362,105.033,107.062,6.202,258,257,0
0.806,0.000075251,0.149,0.259,0.448,5.459,0.637,1.802,3.21,6.291,5.406,107.563,107.161,9.017,95,94,0
0.482,0.000040024,0.142,0.151,0.426,5.36,0.506,1.731,2.838,6.808,5.194,119.563,120.321,9.319,167,165,0
2.036,0.000176739,0.828,1.229,2.485,8.123,0.906,3.999,5.369,7.726,11.996,116.783,115.281,6.748,43,42,0
2.574,0.000229516,1.089,1.401,3.268,11.389,1.144,5.026,7.266,8.849,15.078,111.887,112.025,7.991,55,53,0
2.084,0.000187358,0.712,1.074,2.135,11.716,1.292,4.578,6.886,9.31,13.735,110.088,111.238,5.408,46,44,0
2.054,0.000195365,0.802,0.655,2.407,18.905,1.546,10.413,10.048,13.921,31.238,107.416,104.38,7.312,32,31,0
1.353,0.000122889,0.237,0.339,0.712,8.809,0.816,2.9,4.838,12.281,8.699,111.462,109.614,6.1,26,25,0
1.66,0.000164668,0.419,0.621,1.256,9.641,0.919,3.685,5.818,13.621,11.056,102.072,101.004,7.452,49,47,0
1.756,0.000172668,0.545,0.773,1.634,13.799,1.347,4.031,5.74,18.504,12.094,104.175,101.588,9.461,64,62,0
2.754,0.000262365,0.85,0.937,2.551,15.908,1.416,7.431,11.219,27.516,22.294,108.975,105.932,7.741,40,39,0
1.259,0.000115964,0.428,0.52,1.285,15.641,1.384,5.747,9.716,21.973,17.242,103.469,108.62,13.787,57,55,0
1.173,0.000108515,0.234,0.407,0.702,12.739,1.16,3.325,6.039,13.134,9.974,110.148,107.49,6.274,21,20,0
2.412,0.000195522,1.106,1.416,3.319,16.77,1.52,6.986,10.826,20.454,20.958,118.955,123.331,12.81,127,120,0
1.174,0.000100405,0.377,0.513,1.132,9.812,1.05,3.432,5.833,11.6,10.296,118.293,117.06,10.301,134,133,0
2.049,0.000173663,0.823,1.06,2.468,12.171,1.156,4.084,7.277,18.119,12.253,117.686,118.227,8.708,108,105,0
2.663,0.000239503,1.062,1.096,3.186,13.399,1.282,5.207,7.807,16.517,15.622,109.187,111.203,11.829,124,116,0
1.329,0.00011934,0.625,0.842,1.875,11.607,1.105,4.752,7.551,9.709,14.255,112.05,111.652,2.325,54,52,0
1.182,0.000107156,0.492,0.639,1.475,8.883,0.907,2.481,4.67,10.834,7.442,110.57,110.578,3.025,75,74,0
1.448,0.000131702,0.546,0.636,1.639,10.698,1.082,3.331,5.883,11.493,9.993,110.758,109.929,5.018,56,53,0
1.035,0.000095705,0.408,0.442,1.224,14.29,1.494,4.324,5.712,21.921,12.971,108.696,108.064,3.493,70,69,0
2.189,0.000181121,1.044,1.101,3.133,13.847,1.387,5.257,7.506,15.901,15.77,110.033,122.703,72.642,67,63,0
2.565,0.000207841,1.252,1.426,3.757,14.564,1.28,4.556,5.979,15.346,13.668,109.173,122.876,68.851,73,69,0
1.053,0.000098127,0.361,0.466,1.083,9.599,0.936,3.848,5.572,12.324,11.545,106.474,107.323,4.546,58,57,0
1.497,0.000136421,0.665,0.915,1.996,17.078,1.548,8.153,8.85,20.178,24.46,108.853,109.752,3.678,60,58,0
1.122,0.000120402,0.3,0.453,0.901,9.284,0.955,2.744,4.444,10.349,8.232,95.753,93.447,6.473,34,33,0
1.145,0.000052252,0.553,0.448,1.659,7.283,0.644,3.559,4.476,6.721,10.676,217.636,219.882,12.375,97,96,0
0.674,0.000032678,0.358,0.292,1.073,6.756,0.618,3.411,4.336,5.029,10.233,202.184,206.261,13.256,122,121,0
0.603,0.000029228,0.312,0.29,0.935,9.325,0.881,4.73,6.266,7.823,14.191,191.815,206.451,25.004,222,221,0
1.062,0.000054339,0.276,0.332,0.827,15.524,1.436,7.513,10.797,22.976,22.54,201.291,194.41,20.187,40,39,0
2.816,0.000153056,1.09,0.718,3.27,9.388,0.868,3.614,6.655,9.594,10.843,180.544,185.275,13.508,37,33,0
1.145,0.000053063,0.703,0.655,2.11,18.904,1.768,10.917,10.462,12.052,32.751,190.45,216.976,93.484,27,23,0
1.592,0.000089159,0.653,0.52,1.959,12.58,1.133,7.135,7.64,7.569,21.405,180.664,178.216,8.647,31,30,0
2.165,0.000122725,1.088,0.942,3.265,14.035,1.172,6.057,6.376,6.096,18.171,176.352,175.803,5.242,31,30,0
2.614,0.000225891,0.844,0.831,2.533,7.838,0.721,3.326,5.052,10.10744,9.979,94.735,121.136,39.372,15,14,0
2.801,0.000170783,1.396,1.252,4.189,13.29,1.282,6.912,8.937,11.568,20.736,175.836,163.205,30.528,79,76,0
2.294,0.000137895,1.298,1.099,3.893,10.408,0.916,4.498,7.063,12.146,13.493,166.916,166.79,12.615,30,28,0
2.384,0.00012231,1.191,0.975,3.574,12.507,1.309,6.087,6.937,10.876,18.261,196.852,194.191,20.539,48,45,0
2.589,0.000156748,1.068,1.218,3.205,11.901,1.107,6.49,8.622,9.183,19.471,172.198,164.896,22.668,31,30,0
2.993,0.000132333,1.356,1.312,4.067,11.914,1.124,5.205,6.51,11.341,15.615,230.286,226.903,42.842,170,164,0
2.429,0.000134898,1.047,0.91,3.142,7.804,0.788,2.86,3.821,6.718,8.579,186.864,181.121,30.42,167,162,0
2.442,0.000118381,1.137,1.199,3.412,11.143,1.106,4.386,6.588,11.608,13.159,202.498,210.046,59.826,190,182,0
3.962,0.00021324,1.804,2.107,5.413,16.283,1.4,8.158,11.354,16.354,24.475,194.927,184.405,98.458,118,106,0
2.742,0.00013655,1.115,1.132,3.344,8.49,0.822,4.099,5.156,6.133,12.297,193.002,205.368,22.282,64,59,0
1.292,0.000068334,0.742,0.576,2.226,9.543,0.956,4.636,5.52,9.298,13.907,182.796,189.391,13.547,94,93,0
3.144,0.000206309,1.661,1.372,4.984,12.895,1.411,6.854,6.632,13.203,20.563,175.433,152.892,47.272,62,57,0
